asset,filename,shot_id,trace_start,trace_end,n_traces,n_labeled,n_unlabeled,label_coverage,first_break_min_ms,first_break_max_ms,first_break_mean_ms,first_break_median_ms,source_x,source_y,usable
Brunswick,Brunswick_orig_1500ms_V2.hdf5,1,0,2582,2582,2279,303,0.8826491092176607,30.0,1072.0,579.6450197455024,566.0,2876700.0,52530740.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,2,2582,5164,2582,1340,1242,0.5189775367931836,26.0,925.0,417.81641791044774,412.0,2868620.0,52528910.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,3,5164,7746,2582,1722,860,0.6669248644461657,40.0,1073.0,513.6974448315912,502.0,2876700.0,52531300.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,4,7746,10328,2582,1739,843,0.6735089078233927,36.0,933.0,443.20356526739505,444.0,2868650.0,52529510.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,5,10328,12910,2582,1747,835,0.6766072811773819,58.0,1104.0,561.5930165998856,547.0,2876710.0,52531900.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,6,12910,15492,2582,1940,642,0.7513555383423702,36.0,930.0,455.2355670103093,456.0,2868650.0,52530110.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,7,15492,18074,2582,1533,1049,0.5937257939581719,40.0,1088.0,540.7227658186563,535.0,2876710.0,52532510.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,8,18074,20656,2582,1792,790,0.6940356312935708,44.0,958.0,445.03738839285717,434.0,2868670.0,52530710.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,9,20656,23238,2582,2131,451,0.8253292021688613,26.0,904.0,464.823087752229,464.0,2864680.0,52524700.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,10,23238,25820,2582,1660,922,0.6429124709527498,26.0,1081.0,507.18674698795184,482.0,2876710.0,52533110.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,11,25820,28402,2582,1697,885,0.6572424477149497,52.0,952.0,425.13258691809074,414.0,2868680.0,52531140.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,12,28402,30984,2582,2083,499,0.8067389620449265,18.0,900.0,455.9323091694671,460.0,2864670.0,52525300.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,13,30984,33566,2582,1848,734,0.715724244771495,16.0,1078.0,513.2316017316017,498.0,2876710.0,52533700.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,14,33566,36148,2582,1966,616,0.761425251742835,18.0,1082.0,515.0686673448627,494.0,2876710.0,52534300.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,15,36148,38730,2582,2023,559,0.7835011618900077,24.0,887.0,449.99060800790903,450.0,2864660.0,52525900.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,16,38730,41312,2582,1854,728,0.7180480247869868,48.0,955.0,441.60355987055016,437.5,2868700.0,52531910.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,17,41312,43894,2582,2078,504,0.8048024786986832,33.0,1088.0,514.8960538979788,488.0,2876710.0,52534900.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,19,43894,46476,2582,2272,310,0.8799380325329202,42.0,1077.0,524.2966549295775,498.0,2876710.0,52535500.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,20,46476,49058,2582,1594,988,0.6173508907823393,32.0,936.0,372.9159347553325,366.0,2868710.0,52532510.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,21,49058,51640,2582,2171,411,0.8408210689388071,32.0,1081.0,508.6278212805159,486.0,2876710.0,52536100.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,22,51640,54222,2582,1941,641,0.7517428350116189,36.0,850.0,444.2715095311695,460.0,2864650.0,52527100.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,23,54222,56804,2582,2058,524,0.7970565453137103,20.0,1083.0,501.5534499514091,474.0,2876710.0,52536700.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,24,56804,59386,2582,2137,445,0.8276529821843532,15.0,1092.0,515.3144595226954,478.0,2876710.0,52537310.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,25,59386,61968,2582,2092,490,0.8102246320681642,18.0,933.0,430.1075525812619,420.0,2868720.0,52533050.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,26,61968,64550,2582,2361,221,0.9144074360960496,26.0,863.0,463.7039390088945,478.0,2864680.0,52527700.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,27,64550,67132,2582,2281,301,0.883423702556158,28.0,1092.0,516.5589653660675,480.0,2876710.0,52537900.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,28,67132,69714,2582,2287,295,0.8857474825716499,18.0,936.0,448.34980323567993,438.0,2868720.0,52533710.0,True
Brunswick,Brunswick_orig_1500ms_V2.hdf5,29,69714,72016,2302,2056,246,0.893136403127715,40.0,1086.0,515.636186770428,462.0,2876710.0,52538500.0,True
